Timestamp,RTT (ms)
1750246444,22.084
1750246445,22.198
1750246447,34.27
1750246449,39.804
1750246450,37.747
1750246451,53.257
1750246452,26.199
1750246454,58.814
1750246455,83.76
1750246456,50.502
1750246457,28.647
1750246458,29.325
1750246460,53.424
1750246461,21.239
1750246462,50.677
1750246463,23.683
1750246464,23.734
1750246465,83.559
1750246466,94.33
1750246468,20.676
1750246469,56.548
1750246470,57.472
1750246471,36.087
1750246474,23.613
1750246475,38.224
1750246476,19.171
1750246477,29.072
1750246478,30.863
1750246481,17.271
1750246483,35.878
1750246484,19.622
1750246485,24.054
1750246486,14.917
1750246488,16.856
1750246502,27.01
1750246503,19.478
1750246505,16.589
1750246506,40.302
1750246507,18.287
1750246508,48.616
1750246509,41.409
1750246510,32.301
1750246511,18.017
1750246513,60
1750246514,60
1750246515,60
1750246516,60
1750246517,60
1750246518,60
1750246519,60
1750246522,66.369
1750246524,18.751
1750246531,19.078
1750246536,20.27
1750246540,41.909
1750246544,16.212
1750246549,29.562
1750246554,21.763
1750246556,16.267
1750246557,52.125
1750246560,21.381
1750246561,32.928
1750246562,19.585
1750246563,60
1750246564,98.228
1750246565,34.712
1750246567,16.064
1750246568,32.738
1750246575,41.9
1750246577,26.456
1750246579,18.265
1750246580,21.589
1750246581,28.464
1750246582,37.711
1750246583,20.586
1750246584,25.131
1750246587,53.798
1750246594,60
1750246595,60
1750246598,46.658
1750246599,45.237
1750246600,18.211
1750246601,17.475
1750246602,16.819
1750246603,22.344
1750246604,18.755
1750246605,17.778
1750246606,16.302
1750246607,42.824
1750246608,21.828
1750246610,25.539
1750246611,19.364
1750246613,37.473
1750246614,33.069
1750246615,18.577
1750246616,28.083
1750246618,26.907
1750246620,33.505
1750246621,23.917
1750246622,17.708
1750246624,88.027
1750246626,96.48
1750246628,19.025
1750246629,81.633
1750246630,16.158
1750246631,26.775
1750246632,26.963
1750246633,15.804
1750246634,29.855
1750246635,42.257
1750246636,52.664
1750246637,15.177
1750246638,60
1750246639,128.269
1750246640,110.554
1750246641,70.884
1750246642,48.718
1750246643,17.66
1750246644,50.802
1750246645,25.512
1750246646,24.005
1750246647,40.304
1750246648,15.759
1750246649,15.153
1750246650,24.127
1750246651,16.795
1750246652,60.135
1750246654,26.659
1750246655,26.434
